Filename,Touches
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/csv/PlainTextFileLogger.java,13
gpslogger/src/main/java/com/mendhak/gpslogger/common/Networks.java,5
gpslogger/src/main/java/com/mendhak/gpslogger/common/network/CertificateValidationException.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/common/network/LocalX509TrustManager.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/common/network/ServerType.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/common/LocalX509TrustManager.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlTrustEverything.java,11
gpslogger/src/main/java/com/mendhak/gpslogger/senders/owncloud/SelfSignedConfidentSslSocketFactory.java,9
gpslogger/src/main/java/com/mendhak/gpslogger/common/CertificateValidationException.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/customurl/LocalX509TrustManager.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/common/ContentApi.java,9
gpslogger/src/main/java/com/mendhak/gpslogger/common/ProfilePreference.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/common/RejectionHandler.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/common/slf4j/FifoDeque.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/common/slf4j/GpsRollingFileAppender.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/common/slf4j/Logs.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/common/slf4j/SessionLogcatAppender.java,11
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/FileLogger.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/Streams.java,5
gpslogger/src/main/java/com/mendhak/gpslogger/senders/PreferenceValidator.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ZipHelper.java,9
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/display/GpsBigViewFragment.java,6
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/csv/PlainTextFileLoggerTest.java,5
gpslogger/src/test/java/com/mendhak/gpslogger/common/MathsTest.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/ui/components/ExpandableListAdapter.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/senders/email/Mail.java,11
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/opengts/OpenGTSJob.java,12
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/opengts/OpenGTSJobTest.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/opengts/OpenGTSClient.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/senders/owncloud/OwnCloudSettingsFragment.java,17
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/OwnCloudManager.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/settings/GeneralSettingsFragment.java,11
gpslogger/src/main/java/com/mendhak/gpslogger/common/MessageBoxCallback.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/common/Utilities.java,79
gpslogger/src/main/java/com/mendhak/gpslogger/senders/dropbox/DropboxAuthorizationFragment.java,12
gpslogger/src/main/java/com/mendhak/gpslogger/senders/email/AutoEmailFragment.java,23
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/FtpFragment.java,11
gpslogger/src/main/java/com/mendhak/gpslogger/senders/googledrive/GoogleDriveSettingsFragment.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/senders/opengts/OpenGTSFragment.java,13
gpslogger/src/main/java/com/mendhak/gpslogger/senders/osm/OSMAuthorizationFragment.java,14
gpslogger/src/main/java/com/mendhak/gpslogger/settings/LoggingSettingsFragment.java,21
gpslogger/src/main/java/com/mendhak/gpslogger/settings/UploadSettingsFragment.java,5
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/GenericViewFragment.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/GpsBigViewFragment.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/GpsDetailedViewFragment.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/GpsLogViewFragment.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/GpsSimpleViewFragment.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/PermissionedFragment.java,1
gpslogger/src/test/java/com/mendhak/gpslogger/common/UtilitiesTest.java,7
gpslogger/src/main/java/com/mendhak/gpslogger/views/GpsLogViewFragment.java,13
gpslogger/src/main/java/com/mendhak/gpslogger/views/GpsSimpleViewFragment.java,42
gpslogger/src/main/java/com/mendhak/gpslogger/common/OpenGTSClient.java,15
gpslogger/src/main/java/com/mendhak/gpslogger/views/GenericViewFragment.java,35
gpslogger/src/main/java/com/mendhak/gpslogger/views/GpsDetailedViewFragment.java,55
gpslogger/src/main/java/com/mendhak/gpslogger/settings/PerformanceSettingsFragment.java,16
gpslogger/src/main/java/com/mendhak/gpslogger/views/GpsBigViewFragment.java,23
gpslogger/src/main/java/com/mendhak/gpslogger/views/PermissionedFragment.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/views/PermissionedPreferenceFragment.java,5
gpslogger/src/test/java/com/mendhak/gpslogger/MediumInstrumentationTestRunner.java,3
gpslogger/src/test/java/com/mendhak/gpslogger/SmallInstrumentationTestRunner.java,4
gpslogger/src/test/java/com/mendhak/gpslogger/UtilitiesTests.java,17
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/FileLoggerTests.java,5
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/Gpx10FileLogger.java,14
gpslogger/src/main/java/com/mendhak/gpslogger/common/FileDialog/FolderSelectorDialog.java,8
gpslogger/src/main/java/com/mendhak/gpslogger/senders/IFileSender.java,5
gpslogger/src/main/java/com/mendhak/gpslogger/senders/gdocs/GoogleDriveManager.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/senders/gdocs/GoogleDriveSettingsFragment.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/common/IMessageBoxCallback.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/common/IPreferenceValidation.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/IFileLogger.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/senders/gdocs/GoogleDriveJob.java,2
gpslogger/src/test/java/com/mendhak/gpslogger/UtilitiesTest.java,1
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/Gpx10AnnotateHandlerTest.java,1
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/Gpx10WriteHandlerTest.java,1
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/Kml22AnnotateHandlerTest.java,1
gpslogger/src/test/java/com/mendhak/gpslogger/NmeaSentenceTests.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/PreferenceNames.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/Kml22FileLogger.java,7
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/FtpHelper.java,13
gpslogger/src/main/java/com/mendhak/gpslogger/senders/gdocs/GDocsHelper.java,17
gpslogger/src/main/java/com/mendhak/gpslogger/senders/gdocs/GDocsJob.java,12
gpslogger/src/main/java/com/mendhak/gpslogger/senders/gdocs/GDocsSettingsFragment.java,13
gpslogger/src/main/java/com/mendhak/gpslogger/senders/opengts/OpenGTSHelper.java,10
gpslogger/src/main/java/com/mendhak/gpslogger/senders/osm/OSMHelper.java,12
gpslogger/src/main/java/com/mendhak/gpslogger/senders/owncloud/OwnCloudHelper.java,8
gpslogger/src/main/java/com/mendhak/gpslogger/views/component/CustomSwitchPreference.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/views/component/ExpandableListAdapter.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/AutoFtpFragment.java,10
gpslogger/src/main/java/com/mendhak/gpslogger/common/PreferenceValidationFragment.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/views/component/GpsLoggerDrawerItem.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/senders/dropbox/DropBoxHelper.java,13
gpslogger/src/main/java/com/mendhak/gpslogger/senders/email/AutoEmailHelper.java,11
